,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
285,Columbus Blue Jackets,Chicago Blackhawks,0,2,"Feb 26, 21",0,2,Discover Central
281,New York Islanders,Boston Bruins,7,2,"Feb 26, 21",2,0,MassMutual East
283,Tampa Bay Lightning,Carolina Hurricanes,3,1,"Feb 26, 21",2,0,Discover Central
293,Minnesota Wild,Los Angeles Kings,3,1,"Feb 27, 21",2,0,Honda West
292,New York Rangers,Boston Bruins,6,2,"Feb 27, 21",2,0,MassMutual East
291,Buffalo Sabres,Philadelphia Flyers,0,3,"Feb 27, 21",0,2,MassMutual East
300,Nashville Predators,Columbus Blue Jackets,2,1,"Feb 27, 21",2,0,Discover Central
301,Ottawa Senators,Calgary Flames,3,6,"Feb 27, 21",0,2,Scotia North
290,Arizona Coyotes,Colorado Avalanche,2,3,"Feb 27, 21",0,2,Honda West
295,New Jersey Devils,Washington Capitals,2,5,"Feb 27, 21",0,2,MassMutual East
312,Nashville Predators,Columbus Blue Jackets,3,1,"Feb 28, 21",2,0,Discover Central
310,New York Rangers,Boston Bruins,1,4,"Feb 28, 21",0,2,MassMutual East
309,New York Islanders,Pittsburgh Penguins,2,0,"Feb 28, 21",2,0,MassMutual East
308,Buffalo Sabres,Philadelphia Flyers,0,3,"Feb 28, 21",0,2,MassMutual East
314,New Jersey Devils,Washington Capitals,2,3,"Feb 28, 21",0,2,MassMutual East
304,Minnesota Wild,Los Angeles Kings,4,3,"Feb 28, 21",2,1,Honda West
306,Anaheim Ducks,Vegas Golden Knights,2,3,"Feb 28, 21",1,2,Honda West
305,Arizona Coyotes,Colorado Avalanche,2,6,"Feb 28, 21",0,2,Honda West
303,Edmonton Oilers,Toronto Maple Leafs,0,4,"Feb 28, 21",0,2,Scotia North
302,Winnipeg Jets,Montréal Canadiens,2,1,"Feb 28, 21",2,1,Scotia North
299,Chicago Blackhawks,Detroit Red Wings,3,5,"Feb 28, 21",0,2,Discover Central
298,Florida Panthers,Carolina Hurricanes,3,4,"Feb 28, 21",1,2,Discover Central
296,New York Islanders,Pittsburgh Penguins,3,4,"Feb 28, 21",1,2,MassMutual East
307,San Jose Sharks,St. Louis Blues,6,7,"Feb 28, 21",0,2,Honda West
297,Tampa Bay Lightning,Dallas Stars,5,0,"Feb 28, 21",2,0,Discover Central
0,Philadelphia Flyers,Pittsburgh Penguins,6,3,"Jan 13, 21",2,0,MassMutual East
1,Tampa Bay Lightning,Chicago Blackhawks,5,1,"Jan 14, 21",2,0,Discover Central
3,Edmonton Oilers,Vancouver Canucks,3,5,"Jan 14, 21",0,2,Scotia North
4,Colorado Avalanche,St. Louis Blues,1,4,"Jan 14, 21",0,2,Honda West
2,Toronto Maple Leafs,Montréal Canadiens,5,4,"Jan 14, 21",2,1,Scotia North
15,Los Angeles Kings,Minnesota Wild,3,4,"Jan 15, 21",1,2,Honda West
13,Arizona Coyotes,San Jose Sharks,3,4,"Jan 15, 21",1,2,Honda West
12,Edmonton Oilers,Vancouver Canucks,5,2,"Jan 15, 21",2,0,Scotia North
14,Vegas Golden Knights,Anaheim Ducks,5,2,"Jan 15, 21",2,0,Honda West
9,Detroit Red Wings,Carolina Hurricanes,0,3,"Jan 15, 21",0,2,Discover Central
7,New York Rangers,New York Islanders,0,4,"Jan 15, 21",0,2,MassMutual East
6,New Jersey Devils,Boston Bruins,2,3,"Jan 15, 21",1,2,MassMutual East
5,Buffalo Sabres,Washington Capitals,4,6,"Jan 15, 21",0,2,MassMutual East
10,Nashville Predators,Columbus Blue Jackets,3,1,"Jan 15, 21",2,0,Discover Central
11,Winnipeg Jets,Calgary Flames,4,3,"Jan 15, 21",2,1,Scotia North
28,Arizona Coyotes,San Jose Sharks,5,3,"Jan 16, 21",2,0,Honda West
21,New Jersey Devils,Boston Bruins,2,1,"Jan 16, 21",2,1,MassMutual East
20,Colorado Avalanche,St. Louis Blues,8,0,"Jan 16, 21",2,0,Honda West
18,Tampa Bay Lightning,Chicago Blackhawks,5,2,"Jan 16, 21",2,0,Discover Central
17,Philadelphia Flyers,Pittsburgh Penguins,5,2,"Jan 16, 21",2,0,MassMutual East
16,Buffalo Sabres,Washington Capitals,1,2,"Jan 16, 21",0,2,MassMutual East
19,Ottawa Senators,Toronto Maple Leafs,5,3,"Jan 16, 21",2,0,Scotia North
29,Vegas Golden Knights,Anaheim Ducks,2,1,"Jan 17, 21",2,1,Honda West
27,Edmonton Oilers,Montréal Canadiens,1,5,"Jan 17, 21",0,2,Scotia North
26,Calgary Flames,Vancouver Canucks,3,0,"Jan 17, 21",2,0,Scotia North
30,Los Angeles Kings,Minnesota Wild,3,4,"Jan 17, 21",1,2,Honda West
24,Nashville Predators,Columbus Blue Jackets,5,2,"Jan 17, 21",2,0,Discover Central
23,Detroit Red Wings,Carolina Hurricanes,4,2,"Jan 17, 21",2,0,Discover Central
