,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
409,St. Louis Blues,Arizona Coyotes,1,3,2021-02-06 20:08:52,0,2,Honda West
172,New York Islanders,Pittsburgh Penguins,4,3,2021-02-07 00:07:04,2,0,MassMutual East
174,Toronto Maple Leafs,Vancouver Canucks,5,1,2021-02-07 00:14:33,2,0,Scotia North
176,Anaheim Ducks,San Jose Sharks,2,1,2021-02-07 03:07:25,2,1,Honda West
175,Calgary Flames,Edmonton Oilers,6,4,2021-02-07 03:10:36,2,0,Scotia North
177,Washington Capitals,Philadelphia Flyers,4,7,2021-02-07 17:25:00,0,2,MassMutual East
181,Vegas Golden Knights,Los Angeles Kings,4,3,2021-02-07 20:07:28,2,0,Honda West
179,Columbus Blue Jackets,Carolina Hurricanes,5,6,2021-02-07 20:07:38,0,2,Discover Central
180,Dallas Stars,Chicago Blackhawks,1,2,2021-02-07 20:08:02,1,2,Discover Central
178,Florida Panthers,Detroit Red Wings,1,4,2021-02-07 20:08:30,0,2,Discover Central
186,Toronto Maple Leafs,Vancouver Canucks,3,1,2021-02-09 00:07:24,2,0,Scotia North
183,Columbus Blue Jackets,Carolina Hurricanes,3,2,2021-02-09 00:07:44,2,0,Discover Central
185,Ottawa Senators,Edmonton Oilers,1,3,2021-02-09 00:08:09,0,2,Scotia North
182,New York Rangers,New York Islanders,0,2,2021-02-09 00:10:10,0,2,MassMutual East
184,Nashville Predators,Tampa Bay Lightning,1,4,2021-02-09 01:07:56,0,2,Discover Central
410,St. Louis Blues,Arizona Coyotes,3,4,2021-02-09 01:08:00,1,2,Honda West
189,Ottawa Senators,Edmonton Oilers,2,3,2021-02-10 00:08:03,0,2,Scotia North
187,Florida Panthers,Detroit Red Wings,2,1,2021-02-10 00:08:44,2,0,Discover Central
191,Dallas Stars,Chicago Blackhawks,1,2,2021-02-10 01:39:30,1,2,Discover Central
188,Nashville Predators,Tampa Bay Lightning,1,6,2021-02-10 01:44:42,0,2,Discover Central
190,Calgary Flames,Winnipeg Jets,3,2,2021-02-10 03:07:33,2,0,Scotia North
192,Vegas Golden Knights,Anaheim Ducks,5,4,2021-02-10 03:07:36,2,0,Honda West
193,Los Angeles Kings,San Jose Sharks,3,4,2021-02-10 03:07:44,1,2,Honda West
194,New York Rangers,Boston Bruins,2,3,2021-02-11 00:10:02,1,2,MassMutual East
195,Montréal Canadiens,Toronto Maple Leafs,2,4,2021-02-11 00:42:49,0,2,Scotia North
196,New York Islanders,Pittsburgh Penguins,3,4,2021-02-12 00:07:01,1,2,MassMutual East
197,Florida Panthers,Tampa Bay Lightning,5,2,2021-02-12 00:08:39,2,0,Discover Central
198,Chicago Blackhawks,Columbus Blue Jackets,5,6,2021-02-12 01:08:19,0,2,Discover Central
200,Montréal Canadiens,Edmonton Oilers,0,3,2021-02-12 01:08:21,0,2,Scotia North
201,Winnipeg Jets,Ottawa Senators,5,1,2021-02-12 01:08:23,2,0,Scotia North
199,Nashville Predators,Detroit Red Wings,3,2,2021-02-12 01:08:30,2,0,Discover Central
203,Dallas Stars,Carolina Hurricanes,3,5,2021-02-12 01:37:58,0,2,Discover Central
205,Los Angeles Kings,San Jose Sharks,6,2,2021-02-12 03:07:25,2,0,Honda West
204,Vegas Golden Knights,Anaheim Ducks,0,1,2021-02-12 03:07:40,0,2,Honda West
202,Vancouver Canucks,Calgary Flames,1,3,2021-02-12 03:08:11,0,2,Scotia North
206,New York Rangers,Boston Bruins,0,1,2021-02-13 00:08:00,0,2,MassMutual East
212,Winnipeg Jets,Ottawa Senators,1,2,2021-02-13 20:10:23,0,2,Scotia North
144,San Jose Sharks,Vegas Golden Knights,1,3,2021-02-13 21:07:39,0,2,Honda West
207,New York Islanders,Boston Bruins,4,2,2021-02-14 00:09:08,2,0,MassMutual East
208,Florida Panthers,Tampa Bay Lightning,1,6,2021-02-14 00:10:14,0,2,Discover Central
211,Toronto Maple Leafs,Montréal Canadiens,1,2,2021-02-14 00:14:23,0,2,Scotia North
215,Arizona Coyotes,St. Louis Blues,4,5,2021-02-14 01:07:35,1,2,Honda West
214,Dallas Stars,Carolina Hurricanes,3,4,2021-02-14 01:07:41,1,2,Discover Central
210,Nashville Predators,Detroit Red Wings,2,4,2021-02-14 01:07:44,0,2,Discover Central
209,Chicago Blackhawks,Columbus Blue Jackets,3,2,2021-02-14 01:08:18,2,1,Discover Central
213,Vancouver Canucks,Calgary Flames,3,1,2021-02-14 03:10:05,2,0,Scotia North
216,Pittsburgh Penguins,Washington Capitals,6,3,2021-02-14 20:24:56,2,0,MassMutual East
217,Vegas Golden Knights,Colorado Avalanche,1,0,2021-02-15 00:09:42,2,0,Honda West
225,Arizona Coyotes,St. Louis Blues,1,0,2021-02-15 21:07:44,2,0,Honda West
221,Toronto Maple Leafs,Ottawa Senators,5,6,2021-02-16 00:07:32,1,2,Scotia North
229,Tampa Bay Lightning,Florida Panthers,4,6,2021-02-16 00:08:18,0,2,Discover Central
228,Carolina Hurricanes,Columbus Blue Jackets,7,3,2021-02-16 00:08:26,2,0,Discover Central
219,Buffalo Sabres,New York Islanders,1,3,2021-02-16 00:09:45,0,2,MassMutual East
220,Detroit Red Wings,Chicago Blackhawks,2,3,2021-02-16 00:38:04,1,2,Discover Central
222,Edmonton Oilers,Winnipeg Jets,5,6,2021-02-16 02:07:50,0,2,Scotia North
